sample	activity_exp_1	activity_exp_2
sample_0	Y	Y	
sample_1	N	N	
sample_2	N	Y	
sample_3	Y	N	
sample_4	Y	N	
sample_5	N	N	
sample_6	N	Y	
sample_7	Y	N	
sample_8	Y	N	
sample_9	N	N	
sample_10	N	N	
sample_11	N	Y	
sample_12	N	N	
sample_13	Y	N	
sample_14	N	Y	
sample_15	N	N	
sample_16	N	N	
sample_17	Y	N	
sample_18	N	N	
sample_19	N	N	
sample_20	Y	N	
sample_21	N	N	
sample_22	N	Y	
sample_23	Y	N	
sample_24	Y	N	
sample_25	N	N	
sample_26	N	N	
sample_27	N	N	
sample_28	N	Y	
sample_29	N	Y	
sample_30	Y	N	
sample_31	Y	N	
sample_32	Y	N	
sample_33	Y	N	
sample_34	N	Y	
sample_35	Y	N	
sample_36	Y	Y	
sample_37	N	Y	
sample_38	Y	N	
sample_39	N	N	
sample_40	N	N	
sample_41	N	N	
sample_42	N	Y	
sample_43	N	N	
sample_44	Y	Y	
sample_45	Y	N	
sample_46	N	Y	
sample_47	Y	Y	
sample_48	Y	N	
sample_49	N	Y	
sample_50	N	Y	
sample_51	Y	N	
sample_52	N	N	
sample_53	N	N	
sample_54	Y	N	
sample_55	N	N	
sample_56	Y	Y	
sample_57	N	Y	
sample_58	Y	N	
sample_59	Y	N	
sample_60	N	N	
sample_61	Y	N	
sample_62	Y	N	
sample_63	N	N	
sample_64	N	Y	
sample_65	N	N	
sample_66	Y	N	
sample_67	Y	N	
sample_68	N	N	
sample_69	N	N	
sample_70	N	N	
sample_71	N	Y	
sample_72	Y	Y	
sample_73	Y	N	
sample_74	N	N	
sample_75	Y	Y	
sample_76	N	N	
sample_77	N	N	
sample_78	Y	N	
sample_79	Y	N	
sample_80	N	N	
sample_81	Y	Y	
sample_82	N	N	
sample_83	N	N	
sample_84	N	N	
sample_85	N	N	
sample_86	Y	Y	
sample_87	Y	Y	
sample_88	N	N	
sample_89	Y	N	
sample_90	Y	N	
sample_91	Y	N	
sample_92	Y	N	
sample_93	N	N	
sample_94	N	N	
sample_95	N	N	
sample_96	Y	Y	
sample_97	N	Y	
sample_98	N	N	
sample_99	Y	N	
sample_100	N	N	
sample_101	Y	N	
sample_102	N	N	
sample_103	N	N	
sample_104	Y	N	
sample_105	Y	N	
sample_106	N	N	
sample_107	N	N	
sample_108	Y	N	
sample_109	Y	N	
sample_110	Y	N	
sample_111	N	N	
sample_112	Y	N	
sample_113	Y	N	
sample_114	N	N	
sample_115	Y	N	
sample_116	N	Y	
sample_117	Y	N	
sample_118	N	N	
